review_id,customer_id,product_id,review_date,gender,age,country,language,category_of_product,input_text
"REV001,CUST001,PROD001,2024-01-15,Male,28,United States,English,Electronics,""I love this product! It's exactly what I was looking for and the customer service is amazing."""
"REV002,CUST002,PROD001,2024-01-16,Female,35,Canada,English,Electronics,""This is the worst purchase I've ever made. The quality is terrible and it broke after a week."""
"REV003,CUST003,PROD002,2024-01-17,Male,42,United Kingdom,English,Home & Garden,""The product works fine, nothing special but gets the job done."""
"REV004,CUST004,PROD003,2024-01-18,Female,29,Germany,German,Clothing,""Excellent quality and fast shipping. Highly recommend to everyone!"""
"REV005,CUST005,PROD002,2024-01-19,Male,31,France,French,Home & Garden,""I'm disappointed with the customer service. They were rude and unhelpful."""
"REV006,CUST006,PROD004,2024-01-20,Female,26,Spain,Spanish,Beauty,""The product exceeded my expectations. Great value for money!"""
"REV007,CUST007,PROD005,2024-01-21,Male,38,Italy,Italian,Books,""Average product, nothing to write home about."""
"REV008,CUST008,PROD006,2024-01-22,Female,33,Netherlands,Dutch,Sports,""Amazing experience! The team went above and beyond to help me."""
"REV009,CUST009,PROD007,2024-01-23,Male,45,Sweden,Swedish,Automotive,""This is okay, but I expected better for the price."""
"REV010,CUST010,PROD008,2024-01-24,Female,27,Norway,Norwegian,Toys,""Terrible experience. The product arrived damaged and they refused to replace it."""
"REV011,CUST011,PROD009,2024-01-25,Male,39,Denmark,Danish,Health,""Fantastic product and excellent customer support. Will definitely buy again!"""
"REV012,CUST012,PROD010,2024-01-26,Female,24,Finland,Finnish,Jewelry,""I'm not impressed. The product doesn't work as advertised."""
"REV013,CUST013,PROD011,2024-01-27,Male,36,Poland,Polish,Pet Supplies,""Great product, good quality, reasonable price. Satisfied customer."""
"REV014,CUST014,PROD012,2024-01-28,Female,30,Czech Republic,Czech,Kitchen,""Poor quality and slow delivery. Would not recommend."""
"REV015,CUST015,PROD013,2024-01-29,Male,41,Hungary,Hungarian,Outdoor,""Outstanding service and product quality. Very happy with my purchase!"""
"REV016,CUST016,PROD014,2024-01-30,Female,25,Romania,Romanian,Office,""The product is fine but the instructions are confusing."""
"REV017,CUST017,PROD015,2024-01-31,Male,34,Bulgaria,Bulgarian,Music,""Best purchase ever! Everything about this company is top-notch."""
"REV018,CUST018,PROD016,2024-02-01,Female,28,Slovakia,Slovak,Art,""I regret buying this. Waste of money."""
"REV019,CUST019,PROD017,2024-02-02,Male,37,Croatia,Croatian,Food,""Good product, fast shipping, fair price. No complaints."""
"REV020,CUST020,PROD018,2024-02-03,Female,32,Slovenia,Slovenian,Baby,""The customer service was helpful and the product works well."" "
"REV001,CUST001,PROD001,2024-01-15,Male,28,United States,English,Electronics,""I love this product! It's exactly what I was looking for and the customer service is amazing."""
"REV002,CUST002,PROD001,2024-01-16,Female,35,Canada,English,Electronics,""This is the worst purchase I've ever made. The quality is terrible and it broke after a week."""
"REV003,CUST003,PROD002,2024-01-17,Male,42,United Kingdom,English,Home & Garden,""The product works fine, nothing special but gets the job done."""
"REV004,CUST004,PROD003,2024-01-18,Female,29,Germany,German,Clothing,""Excellent quality and fast shipping. Highly recommend to everyone!"""
"REV005,CUST005,PROD002,2024-01-19,Male,31,France,French,Home & Garden,""I'm disappointed with the customer service. They were rude and unhelpful."""
"REV006,CUST006,PROD004,2024-01-20,Female,26,Spain,Spanish,Beauty,""The product exceeded my expectations. Great value for money!"""
"REV007,CUST007,PROD005,2024-01-21,Male,38,Italy,Italian,Books,""Average product, nothing to write home about."""
"REV008,CUST008,PROD006,2024-01-22,Female,33,Netherlands,Dutch,Sports,""Amazing experience! The team went above and beyond to help me."""
"REV009,CUST009,PROD007,2024-01-23,Male,45,Sweden,Swedish,Automotive,""This is okay, but I expected better for the price."""
